epoch_sec,time,open,high,low,close,twap,ticks
1767397988,2026-01-02 18:53:08,89903.962193,89903.962193,89903.962193,89903.962193,89903.962193,1
1767397989,2026-01-02 18:53:09,89903.77117682733,89903.77117682733,89903.77117682733,89903.77117682733,89903.77117682733,1
1767397990,2026-01-02 18:53:10,89903.77117682733,89903.77117682733,89903.77117682733,89903.77117682733,89903.77117682733,1
1767397991,2026-01-02 18:53:11,89904.3502315,89904.3502315,89904.3502315,89904.3502315,89904.3502315,1
1767397992,2026-01-02 18:53:12,89905.2862365,89905.2862365,89905.2862365,89905.2862365,89905.2862365,1
1767397993,2026-01-02 18:53:13,89905.2862365,89905.2862365,89905.2862365,89905.2862365,89905.2862365,1
1767397994,2026-01-02 18:53:14,89904.791477,89904.791477,89904.791477,89904.791477,89904.791477,1
1767397995,2026-01-02 18:53:15,89904.812056,89904.812056,89904.812056,89904.812056,89904.812056,1
1767397996,2026-01-02 18:53:16,89904.82010164253,89904.82010164253,89904.82010164253,89904.82010164253,89904.82010164253,1
1767397997,2026-01-02 18:53:17,89905.08300466026,89905.08300466026,89905.08300466026,89905.08300466026,89905.08300466026,1
1767397998,2026-01-02 18:53:18,89905.08300466026,89905.08300466026,89905.08300466026,89905.08300466026,89905.08300466026,1
1767397999,2026-01-02 18:53:19,89905.4463531741,89905.4463531741,89905.4463531741,89905.4463531741,89905.4463531741,1
1767398000,2026-01-02 18:53:20,89905.16106737053,89905.16106737053,89905.16106737053,89905.16106737053,89905.16106737053,1
1767398001,2026-01-02 18:53:21,89905.19387237054,89905.19387237054,89905.19387237054,89905.19387237054,89905.19387237054,1
1767398002,2026-01-02 18:53:22,89905.21558995635,89905.21558995635,89905.21558995635,89905.21558995635,89905.21558995635,1
1767398003,2026-01-02 18:53:23,89905.21558995635,89905.21558995635,89905.21558995635,89905.21558995635,89905.21558995635,1
1767398004,2026-01-02 18:53:24,89905.9933865,89905.9933865,89905.9933865,89905.9933865,89905.9933865,1
1767398005,2026-01-02 18:53:25,89905.9933865,89905.9933865,89905.9933865,89905.9933865,89905.9933865,1
1767398006,2026-01-02 18:53:26,89905.28034736561,89905.28034736561,89905.28034736561,89905.28034736561,89905.28034736561,1
1767398007,2026-01-02 18:53:27,89905.28034736561,89905.28034736561,89905.28034736561,89905.28034736561,89905.28034736561,1
1767398008,2026-01-02 18:53:28,89905.44677566143,89905.44677566143,89905.44677566143,89905.44677566143,89905.44677566143,1
1767398009,2026-01-02 18:53:29,89905.38901016144,89905.38901016144,89905.38901016144,89905.38901016144,89905.38901016144,1
1767398010,2026-01-02 18:53:30,89902.0295095,89902.0295095,89902.0295095,89902.0295095,89902.0295095,1
1767398011,2026-01-02 18:53:31,89902.0295095,89902.0295095,89902.0295095,89902.0295095,89902.0295095,1
1767398012,2026-01-02 18:53:32,89902.3415045,89902.3415045,89902.3415045,89902.3415045,89902.3415045,1
1767398013,2026-01-02 18:53:33,89902.342535,89902.342535,89902.342535,89902.342535,89902.342535,1
1767398014,2026-01-02 18:53:34,89902.3741255,89902.3741255,89902.3741255,89902.3741255,89902.3741255,1
1767398015,2026-01-02 18:53:35,89902.3741255,89902.3741255,89902.3741255,89902.3741255,89902.3741255,1
1767398016,2026-01-02 18:53:36,89901.03076808942,89901.03076808942,89901.03076808942,89901.03076808942,89901.03076808942,1
1767398017,2026-01-02 18:53:37,89901.29613328619,89901.29613328619,89901.29613328619,89901.29613328619,89901.29613328619,1
1767398018,2026-01-02 18:53:38,89901.29613328619,89901.29613328619,89901.29613328619,89901.29613328619,89901.29613328619,1
1767398019,2026-01-02 18:53:39,89901.04754157025,89901.04754157025,89901.04754157025,89901.04754157025,89901.04754157025,1
1767398020,2026-01-02 18:53:40,89900.8229749031,89900.8229749031,89900.8229749031,89900.8229749031,89900.8229749031,1
1767398021,2026-01-02 18:53:41,89901.8867075,89901.8867075,89901.8867075,89901.8867075,89901.8867075,1
1767398022,2026-01-02 18:53:42,89901.886206,89901.886206,89901.886206,89901.886206,89901.886206,1
1767398023,2026-01-02 18:53:43,89901.8861595,89901.8861595,89901.8861595,89901.8861595,89901.8861595,1
1767398024,2026-01-02 18:53:44,89901.18447021303,89901.18447021303,89901.18447021303,89901.18447021303,89901.18447021303,1
1767398025,2026-01-02 18:53:45,89901.18427821303,89901.18427821303,89901.18427821303,89901.18427821303,89901.18427821303,1
1767398026,2026-01-02 18:53:46,89901.1428942717,89901.1428942717,89901.1428942717,89901.1428942717,89901.1428942717,1
1767398027,2026-01-02 18:53:47,89901.9496965,89901.9496965,89901.9496965,89901.9496965,89901.9496965,1
1767398028,2026-01-02 18:53:48,89901.9496965,89901.9496965,89901.9496965,89901.9496965,89901.9496965,1
1767398029,2026-01-02 18:53:49,89901.8867275,89901.8867275,89901.8867275,89901.8867275,89901.8867275,1
1767398030,2026-01-02 18:53:50,89901.8867275,89901.8867275,89901.8867275,89901.8867275,89901.8867275,1
1767398031,2026-01-02 18:53:51,89901.34028130374,89901.34028130374,89901.34028130374,89901.34028130374,89901.34028130374,1
1767398032,2026-01-02 18:53:52,89901.833795,89901.833795,89901.833795,89901.833795,89901.833795,1
1767398033,2026-01-02 18:53:53,89901.04593326166,89901.04593326166,89901.04593326166,89901.04593326166,89901.04593326166,1
1767398034,2026-01-02 18:53:54,89901.8746005,89901.8746005,89901.8746005,89901.8746005,89901.8746005,1
1767398035,2026-01-02 18:53:55,89901.8746005,89901.8746005,89901.8746005,89901.8746005,89901.8746005,0
1767398036,2026-01-02 18:53:56,89900.74761203513,89900.74761203513,89900.74761203513,89900.74761203513,89900.74761203513,1
1767398037,2026-01-02 18:53:57,89900.97885886452,89900.97885886452,89900.97885886452,89900.97885886452,89900.97885886452,1
1767398038,2026-01-02 18:53:58,89901.37554446787,89901.37554446787,89901.37554446787,89901.37554446787,89901.37554446787,1
1767398039,2026-01-02 18:53:59,89900.99094342745,89900.99094342745,89900.99094342745,89900.99094342745,89900.99094342745,1
1767398040,2026-01-02 18:54:00,89900.99094342745,89900.99094342745,89900.99094342745,89900.99094342745,89900.99094342745,1
1767398041,2026-01-02 18:54:01,89901.835703,89901.835703,89901.835703,89901.835703,89901.835703,1
1767398042,2026-01-02 18:54:02,89901.835703,89901.835703,89901.835703,89901.835703,89901.835703,1
1767398043,2026-01-02 18:54:03,89900.91518725436,89900.91518725436,89900.91518725436,89900.91518725436,89900.91518725436,1
1767398044,2026-01-02 18:54:04,89899.97013310842,89899.97013310842,89899.97013310842,89899.97013310842,89899.97013310842,1
1767398045,2026-01-02 18:54:05,89899.97013310842,89899.97013310842,89899.97013310842,89899.97013310842,89899.97013310842,1
1767398046,2026-01-02 18:54:06,89888.567375,89888.567375,89888.567375,89888.567375,89888.567375,1
1767398047,2026-01-02 18:54:07,89888.567179,89888.567179,89888.567179,89888.567179,89888.567179,1
1767398048,2026-01-02 18:54:08,89887.923101,89887.923101,89887.923101,89887.923101,89887.923101,1
1767398049,2026-01-02 18:54:09,89887.923101,89887.923101,89887.923101,89887.923101,89887.923101,1
1767398050,2026-01-02 18:54:10,89887.919535,89887.919535,89887.919535,89887.919535,89887.919535,1
1767398051,2026-01-02 18:54:11,89887.7796565,89887.7796565,89887.7796565,89887.7796565,89887.7796565,1
1767398052,2026-01-02 18:54:12,89888.0863005,89888.0863005,89888.0863005,89888.0863005,89888.0863005,1
1767398053,2026-01-02 18:54:13,89887.58894173989,89887.58894173989,89887.58894173989,89887.58894173989,89887.58894173989,1
1767398054,2026-01-02 18:54:14,89887.58894173989,89887.58894173989,89887.58894173989,89887.58894173989,89887.58894173989,1
1767398055,2026-01-02 18:54:15,89887.9938070395,89887.9938070395,89887.9938070395,89887.9938070395,89887.9938070395,1
1767398056,2026-01-02 18:54:16,89887.7421929469,89887.7421929469,89887.7421929469,89887.7421929469,89887.7421929469,1
1767398057,2026-01-02 18:54:17,89886.96407646769,89886.96407646769,89886.96407646769,89886.96407646769,89886.96407646769,1
1767398058,2026-01-02 18:54:18,89888.255783,89888.255783,89888.255783,89888.255783,89888.255783,1
1767398059,2026-01-02 18:54:19,89888.13627663474,89888.13627663474,89888.13627663474,89888.13627663474,89888.13627663474,1
1767398060,2026-01-02 18:54:20,89887.18771162129,89887.18771162129,89887.18771162129,89887.18771162129,89887.18771162129,1
1767398061,2026-01-02 18:54:21,89887.10539248596,89887.10539248596,89887.10539248596,89887.10539248596,89887.10539248596,1
1767398062,2026-01-02 18:54:22,89890.34859821358,89890.34859821358,89890.34859821358,89890.34859821358,89890.34859821358,1
1767398063,2026-01-02 18:54:23,89897.5934121983,89897.5934121983,89897.5934121983,89897.5934121983,89897.5934121983,1
1767398064,2026-01-02 18:54:24,89898.0490322736,89898.0490322736,89898.0490322736,89898.0490322736,89898.0490322736,1
1767398065,2026-01-02 18:54:25,89898.64578,89898.64578,89898.64578,89898.64578,89898.64578,1
1767398066,2026-01-02 18:54:26,89898.23093840685,89898.23093840685,89898.23093840685,89898.23093840685,89898.23093840685,1
1767398067,2026-01-02 18:54:27,89898.09343940685,89898.09343940685,89898.09343940685,89898.09343940685,89898.09343940685,1
1767398068,2026-01-02 18:54:28,89896.4427957757,89896.4427957757,89896.4427957757,89896.4427957757,89896.4427957757,1
1767398069,2026-01-02 18:54:29,89895.72410486425,89895.72410486425,89895.72410486425,89895.72410486425,89895.72410486425,1
1767398070,2026-01-02 18:54:30,89895.88074077395,89895.88074077395,89895.88074077395,89895.88074077395,89895.88074077395,1
1767398071,2026-01-02 18:54:31,89896.6291331363,89896.6291331363,89896.6291331363,89896.6291331363,89896.6291331363,1
1767398072,2026-01-02 18:54:32,89898.5472355,89898.5472355,89898.5472355,89898.5472355,89898.5472355,1
1767398073,2026-01-02 18:54:33,89898.552278,89898.552278,89898.552278,89898.552278,89898.552278,1
1767398074,2026-01-02 18:54:34,89898.915674,89898.915674,89898.915674,89898.915674,89898.915674,1
