ts_ny,yes_bid,yes_ask,yes_bid_depth,yes_ask_depth,no_bid,no_ask,no_bid_depth,no_ask_depth
2026-01-02T19:20:24.135491-05:00,0.13,0.14,9811.13,3995.34,0.86,0.87,3995.34,9811.13
2026-01-02T19:20:25.200193-05:00,0.12,0.13,12644.32,3750.12,0.87,0.88,3750.12,12644.32
2026-01-02T19:20:26.201420-05:00,0.12,0.13,12637.07,3758.43,0.87,0.88,3758.43,12637.07
2026-01-02T19:20:27.237268-05:00,0.11,0.13,15814.84,3780.02,0.87,0.89,3780.02,15814.84
2026-01-02T19:20:28.345286-05:00,0.12,0.13,12030.23,4380.02,0.87,0.88,4380.02,12030.23
2026-01-02T19:20:29.355022-05:00,0.12,0.13,12027.119999999999,4405.08,0.87,0.88,4405.08,12027.119999999999
2026-01-02T19:20:30.397051-05:00,0.11,0.13,16244.98,4398.08,0.87,0.89,4398.08,16244.98
2026-01-02T19:20:31.401875-05:00,0.1,0.13,24280.239999999998,4362.08,0.87,0.9,4362.08,24280.239999999998
2026-01-02T19:20:32.433458-05:00,0.12,0.13,11865.34,4406.97,0.87,0.88,4406.97,11865.34
2026-01-02T19:20:33.450775-05:00,0.12,0.13,11864.199999999999,4377.97,0.87,0.88,4377.97,11864.199999999999
2026-01-02T19:20:34.705133-05:00,0.12,0.13,11952.52,4302.54,0.87,0.88,4302.54,11952.52
2026-01-02T19:20:35.701070-05:00,0.11,0.12,16449.899999999998,3940.52,0.88,0.89,3940.52,16449.899999999998
2026-01-02T19:20:36.742933-05:00,0.11,0.12,16449.899999999998,3940.52,0.88,0.89,3940.52,16449.899999999998
2026-01-02T19:20:37.776237-05:00,0.11,0.12,16449.899999999998,3940.52,0.88,0.89,3940.52,16449.899999999998
2026-01-02T19:20:38.798831-05:00,0.11,0.12,16265.06,3928.32,0.88,0.89,3928.32,16265.06
2026-01-02T19:20:39.796053-05:00,0.11,0.12,16255.07,3978.32,0.88,0.89,3978.32,16255.07
2026-01-02T19:20:40.846947-05:00,0.11,0.12,16255.07,3978.32,0.88,0.89,3978.32,16255.07
2026-01-02T19:20:41.865924-05:00,0.11,0.12,16255.07,3978.32,0.88,0.89,3978.32,16255.07
2026-01-02T19:20:42.962829-05:00,0.11,0.12,16255.07,3978.32,0.88,0.89,3978.32,16255.07
2026-01-02T19:20:43.991619-05:00,0.11,0.12,16176.81,4021.73,0.88,0.89,4021.73,16176.81
2026-01-02T19:20:45.107857-05:00,0.11,0.12,16180.679999999998,3996.73,0.88,0.89,3996.73,16180.679999999998
2026-01-02T19:20:46.107971-05:00,0.11,0.12,16027.98,3962.74,0.88,0.89,3962.74,16027.98
2026-01-02T19:20:47.178670-05:00,0.1,0.12,24331.53,3986.74,0.88,0.9,3986.74,24331.53
2026-01-02T19:20:48.360121-05:00,0.1,0.12,24341.53,3958.61,0.88,0.9,3958.61,24341.53
2026-01-02T19:20:49.377915-05:00,0.1,0.12,24341.53,3958.61,0.88,0.9,3958.61,24341.53
